Sucursal;Division;Categoria;Grupo;Producto;ProdNombre;Proveedor;SALDOUNDTOTAL; Total Costo Und.
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000515;CONTACTOR 3P24V30AMP;FRIOPARTES S A DE C.V.;1;L1,130.44
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000524;CAPACITOR 70 MFD X 370/440V;FRIOPARTES S A DE C.V.;3;L234.78
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000525;CONTACTOR 2P24V40AMP ;FRIOPARTES S A DE C.V.;7;L1,001.65
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000533;BOMBA DRENAJE P/CASSETTES, LEVANTA 1.2 METROS;FRIOPARTES S A DE C.V.;3;L1,173.90
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000537;CAPACITOR 45X370/440 AMERICANO;AIRE FRIO DE HONDURAS S. A DE C. V;9;L2,472.26
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000538;CAPACITOR 60X370/440 AMERICANO ;AIRE FRIO DE HONDURAS S. A DE C. V;8;L2,930.09
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000539;CAPACITOR 80X370/440 AMERICANO ;AIRE FRIO DE HONDURAS S. A DE C. V;10;L5,007.79
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000548;EXTRACTOR DE AIRE 10x10;AGENCIA LA MUNDIAL S.A DE C.V;1;L271.81
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000562;AISLANTE 1/4 X 3/8;AIRE FRIO DE HONDURAS S. A DE C. V;9;L76.07
BSU01;AIRE ACONDICIONADO;CLIMATICACION/ACCESORIOS;AIRE/ACCESORIO;AAC000563;UNION SOLDABLE 7/8;EQUIPOS Y REPUESTOS WOLOZNY S.A DE CV;23;L431.55
