MES;DEPARTAMENTO2;Serie Descripcion;Division;Categoria;Grupo;Proveedor;UNIDAD NEG 2025;UNIDAD POS 2026;COSTO NEG 2025;COSTO POS 2025;UNIDAD NEG 2026;UNIDAD NEG 2026;COSTO NEG 2026;COSTO POS 2026
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;COMPUTADORA;;-2;2;-L6,080.95;L1,658.89;-1;;-L4,129.31;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;CONECTORES;;;;;;-80;;-L51.13;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;FUENTES DE PODER;;;;;;-3;;-L576.08;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;IMPRESORA;;;6;;L39,809.78;-1;;-L4,856.52;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;LIMPIADORES;;;;;;-8;;-L1,408.55;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;MEMORIA;;;;;;-2;;-L242.17;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;MOUSE;;-1;;-L164.05;;;;;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;ROUTER;;;;;;-2;;-L9,341.41;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;SONIDOS;;;1;;L8,300.00;;;;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;TECLADO;;-1;;-L199.64;;;;;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;TELEVISORE/SISTEMAS DE AUDIO;;;;;;-2;;-L3,413.53;
ENERO;0;Diarios de Suministros;ELECTRONICA;EQUIPO COMPUTO;TRANSFERENCIA;;;;;;-2;;-L437.33;
ENERO;0;Diarios de Suministros;ELECTRONICA;INSTRUMENTOS MUSICALES;ACCESORIOS DE MUSICA;;;;;;-5;;-L788.50;
ENERO;0;Diarios de Suministros;ELECTRONICA;MONITOREO;FUENTES DE PODER;;;;;;-1;;-L240.00;
